T,Susceptibility
1,0.374634
1.01,0.455826
1.02,98.0723
1.03,0.624151
1.04,0.78429
1.05,199.899
1.06,216.851
1.07,208.963
1.08,193.537
1.09,190.682
1.1,177.854
1.11,166.724
1.12,155.025
1.13,139.736
1.14,126.004
1.15,111.542
1.16,97.4955
1.17,83.8661
1.18,70.8768
1.19,60.0558
1.2,51.2792
1.21,42.8598
1.22,37.0629
1.23,31.8621
1.24,27.8768
1.25,24.4718
1.26,21.4348
1.27,18.6461
1.28,16.7851
1.29,15.1081
1.3,13.9461
1.31,12.3171
1.32,11.4116
1.33,10.3241
1.34,9.70306
1.35,9.00326
1.36,8.21156
1.37,7.94455
1.38,7.30512
1.39,6.75844
1.4,6.3336
