T,Binder cumulant
0.8,1.00111e-05
0.82,1.00135e-05
0.84,1.0017e-05
0.86,1.00214e-05
0.88,1.00263e-05
0.9,1.00331e-05
0.92,1.00419e-05
0.94,1.00543e-05
0.96,1.00708e-05
0.98,1.0093e-05
1,1.01265e-05
1.02,1.01752e-05
1.04,1.02471e-05
1.06,1.03664e-05
1.08,1.05349e-05
1.1,1.08137e-05
1.12,1.12328e-05
1.14,1.18611e-05
1.16,1.26489e-05
1.18,1.37141e-05
1.2,1.49589e-05
1.22,1.6374e-05
1.24,1.78229e-05
1.26,1.91992e-05
1.28,2.04779e-05
1.3,2.17103e-05
