T,Susceptibility
1,0.373866
1.01,0.444249
1.02,0.512187
1.03,0.626819
1.04,0.844331
1.05,0.929056
1.06,1.18699
1.07,1.47749
1.08,398.707
1.09,373.411
1.1,340.598
1.11,416.12
1.12,354.622
1.13,325.808
1.14,274.677
1.15,223.637
1.16,170.17
1.17,133.98
1.18,101.89
1.19,79.0755
1.2,63.3969
1.21,50.8592
1.22,41.0585
1.23,33.5953
1.24,29.2822
1.25,24.863
1.26,21.5729
1.27,19.2059
1.28,16.7754
1.29,15.233
1.3,13.8463
1.31,12.5382
1.32,11.4642
1.33,10.3554
1.34,9.51473
1.35,9.00562
1.36,8.3333
1.37,7.61928
1.38,7.48224
1.39,6.71133
1.4,6.16111
