T,Specific heat
1,1.44387
1.01,1.52385
1.02,1.60635
1.03,1.66422
1.04,1.82364
1.05,1.84886
1.06,2.06867
1.07,2.16709
1.08,2.27617
1.09,2.41748
1.1,2.57939
1.11,2.69275
1.12,2.82866
1.13,2.95355
1.14,3.03549
1.15,3.07958
1.16,3.10902
1.17,3.06666
1.18,3.00018
1.19,2.93117
1.2,2.83108
1.21,2.6937
1.22,2.54202
1.23,2.41666
1.24,2.28334
1.25,2.10952
1.26,1.99003
1.27,1.86592
1.28,1.79801
1.29,1.72071
1.3,1.59701
1.31,1.50446
1.32,1.43426
1.33,1.40616
1.34,1.32205
1.35,1.29301
1.36,1.21985
1.37,1.19778
1.38,1.14005
1.39,1.10816
1.4,1.05467
