T,Binder cumulant
0.8,1.00018e-05
0.82,1.00022e-05
0.84,1.00028e-05
0.86,1.00035e-05
0.88,1.00044e-05
0.9,1.00055e-05
0.92,1.00071e-05
0.94,1.00092e-05
0.96,1.00122e-05
0.98,1.00164e-05
1,1.00227e-05
1.02,1.00324e-05
1.04,1.00491e-05
1.06,1.00813e-05
1.08,1.01486e-05
1.1,1.03176e-05
1.12,1.07985e-05
1.14,1.21645e-05
1.16,1.49952e-05
1.18,1.86927e-05
1.2,2.22171e-05
1.22,2.46301e-05
1.24,2.62019e-05
1.26,2.72115e-05
1.28,2.78566e-05
1.3,2.83051e-05
