T,Specific heat
0.8,0.530638
0.82,0.589034
0.84,0.649202
0.86,0.71363
0.88,0.79679
0.9,0.88247
0.92,0.970051
0.94,1.06704
0.96,1.18725
0.98,1.31015
1,1.46284
1.02,1.62842
1.04,1.83003
1.06,2.04914
1.08,2.37809
1.1,2.73621
1.12,3.18816
1.14,3.50368
1.16,3.52158
1.18,3.19276
1.2,2.73035
1.22,2.32949
1.24,1.99975
1.26,1.764
1.28,1.57123
1.3,1.43519
