T,Magnetization
0.8,0.979606
0.82,0.976102
0.84,0.972221
0.86,0.967795
0.88,0.962723
0.9,0.956783
0.92,0.950264
0.94,0.942652
0.96,0.933782
0.98,0.923508
1,0.91118
1.02,0.896841
1.04,0.879125
1.06,0.856826
1.08,0.827228
1.1,0.787028
1.12,0.730084
1.14,0.652616
1.16,0.559492
1.18,0.468563
1.2,0.386971
1.22,0.323509
1.24,0.27694
1.26,0.241952
1.28,0.215011
1.3,0.193661
