T,Magnetization
1,0.911164
1.01,0.904498
1.02,0.896543
1.03,0.889291
1.04,0.879848
1.05,0.868108
1.06,0.856752
1.07,0.842801
1.08,0.826695
1.09,0.81025
1.1,0.786947
1.11,0.758426
1.12,0.730263
1.13,0.691182
1.14,0.652308
1.15,0.606814
1.16,0.562628
1.17,0.514564
1.18,0.465187
1.19,0.423731
1.2,0.386713
1.21,0.350186
1.22,0.325287
1.23,0.298046
1.24,0.278305
1.25,0.259742
1.26,0.243591
1.27,0.22702
1.28,0.214644
1.29,0.204273
1.3,0.196947
1.31,0.184699
1.32,0.177901
1.33,0.16935
1.34,0.165445
1.35,0.158817
1.36,0.152933
1.37,0.150367
1.38,0.144866
1.39,0.14019
1.4,0.135467
