T,Magnetization
0.1,1
0.2,1
0.3,0.999995
0.4,0.999905
0.5,0.999259
0.6,0.997127
0.7,0.991371
0.8,0.979659
0.9,0.956643
1,0.911626
1.1,0.787657
1.2,0.389734
1.3,0.193076
1.4,0.137405
1.5,0.109348
1.6,0.0930307
1.7,0.0833565
1.8,0.075039
1.9,0.0711437
2,0.0655789
2.1,0.0628915
2.2,0.0590739
2.3,0.0577126
2.4,0.0555443
2.5,0.0536451
2.6,0.0523629
2.7,0.0504461
2.8,0.0508157
2.9,0.0491917
3,0.048721
3.1,0.0470934
3.2,0.046527
3.3,0.0456765
3.4,0.0456653
3.5,0.0452189
3.6,0.0444925
3.7,0.0439693
3.8,0.0434246
3.9,0.0435462
4,0.0432416
