T,Specific heat
1,1.43589
1.01,1.51152
1.02,1.58918
1.03,1.70729
1.04,1.82629
1.05,1.91619
1.06,2.04634
1.07,2.20002
1.08,2.39474
1.09,2.52342
1.1,2.80912
1.11,3.18277
1.12,3.50897
1.13,3.85355
1.14,3.98184
1.15,3.95812
1.16,3.78554
1.17,3.34619
1.18,3.07157
1.19,2.63368
1.2,2.44574
1.21,2.25066
1.22,2.02547
1.23,1.96684
1.24,1.8491
1.25,1.73874
1.26,1.61007
1.27,1.61992
1.28,1.52329
1.29,1.46801
1.3,1.40801
1.31,1.36004
1.32,1.31699
1.33,1.26571
1.34,1.24983
1.35,1.19932
1.36,1.15035
1.37,1.12386
1.38,1.06982
1.39,1.07225
1.4,1.01575
