T,Binder cumulant
1,1.0126
1.01,1.01461
1.02,1.01663
1.03,1.02006
1.04,1.02587
1.05,1.02928
1.06,1.03658
1.07,1.04326
1.08,1.05356
1.09,1.06631
1.1,1.07958
1.11,1.10087
1.12,1.12162
1.13,1.14847
1.14,1.18421
1.15,1.21864
1.16,1.27233
1.17,1.32319
1.18,1.37536
1.19,1.42695
1.2,1.50415
1.21,1.56329
1.22,1.62763
1.23,1.71205
1.24,1.77723
1.25,1.85311
1.26,1.91146
1.27,1.97643
1.28,2.04146
1.29,2.11112
1.3,2.18788
1.31,2.21827
1.32,2.26857
1.33,2.29372
1.34,2.3553
1.35,2.37589
1.36,2.49271
1.37,2.52088
1.38,2.46672
1.39,2.55358
1.4,2.57219
