T,Specific heat
0.1,0
0.2,0
0.3,0.000277722
0.4,0.0103017
0.5,0.0433385
0.6,0.13175
0.7,0.288275
0.8,0.510012
0.9,0.871086
1,1.42679
1.1,2.53852
1.2,2.8149
1.3,1.59967
1.4,1.07507
1.5,0.78686
1.6,0.666683
1.7,0.535428
1.8,0.455116
1.9,0.396319
2,0.34224
2.1,0.299492
2.2,0.266712
2.3,0.240637
2.4,0.215875
2.5,0.194716
2.6,0.17524
2.7,0.159846
2.8,0.150042
2.9,0.13715
3,0.127339
3.1,0.117885
3.2,0.107508
3.3,0.103553
3.4,0.0966778
3.5,0.089776
3.6,0.0835899
3.7,0.0788934
3.8,0.0759578
3.9,0.0708637
4,0.0682722
