T,Magnetization
1,0.911491
1.01,0.904252
1.02,0.897372
1.03,0.888516
1.04,0.878798
1.05,0.869149
1.06,0.857292
1.07,0.843323
1.08,0.827679
1.09,0.809451
1.1,0.783517
1.11,0.752889
1.12,0.716557
1.13,0.662567
1.14,0.600299
1.15,0.529515
1.16,0.448357
1.17,0.391979
1.18,0.334408
1.19,0.290896
1.2,0.258103
1.21,0.229909
1.22,0.205406
1.23,0.185863
1.24,0.173164
1.25,0.159226
1.26,0.149049
1.27,0.140763
1.28,0.132234
1.29,0.125844
1.3,0.120671
1.31,0.115
1.32,0.110406
1.33,0.105639
1.34,0.101394
1.35,0.0990348
1.36,0.0953689
1.37,0.0916244
1.38,0.090942
1.39,0.0860069
1.4,0.0827065
