T,Specific heat
0.8,0.52498
0.82,0.584189
0.84,0.6494
0.86,0.724592
0.88,0.797677
0.9,0.881527
0.92,0.968063
0.94,1.06451
0.96,1.19103
0.98,1.30755
1,1.44884
1.02,1.61327
1.04,1.81173
1.06,2.05891
1.08,2.38851
1.1,2.83619
1.12,3.43502
1.14,3.98099
1.16,3.76055
1.18,3.02094
1.2,2.41562
1.22,2.04388
1.24,1.84957
1.26,1.66753
1.28,1.52643
1.3,1.40322
