T,Magnetization
0.8,0.979627
0.82,0.976163
0.84,0.972248
0.86,0.967832
0.88,0.962642
0.9,0.956911
0.92,0.950268
0.94,0.94257
0.96,0.933718
0.98,0.923452
1,0.911354
1.02,0.896838
1.04,0.879297
1.06,0.856848
1.08,0.827453
1.1,0.784811
1.12,0.71573
1.14,0.600689
1.16,0.456806
1.18,0.336462
1.2,0.255538
1.22,0.204766
1.24,0.173178
1.26,0.14962
1.28,0.133052
1.3,0.120181
