T,Magnetization,Total Energy
1.4,0.0234375,-204
1.4,0.515625,-268
1.4,0.046875,-240
1.4,0.195312,-224
1.4,0.171875,-192
1.4,0.28125,-224
1.4,0.0234375,-212
1.4,0.5,-316
1.4,0.21875,-272
1.4,0.429688,-244
1.4,0.289062,-280
1.4,0.046875,-216
1.4,0.273438,-276
1.4,0.109375,-236
1.4,0.3125,-276
1.4,0.0703125,-256
1.4,0.632812,-296
1.4,0.109375,-176
1.4,0.382812,-288
1.4,0.0859375,-168
1.4,0.320312,-228
1.4,0.226562,-212
1.4,0.328125,-260
1.4,0.0390625,-220
1.4,0.195312,-248
1.4,0.234375,-232
1.4,0.421875,-232
1.4,0.0859375,-156
1.4,0.46875,-260
1.4,0.09375,-244
1.4,0.703125,-348
1.4,0.03125,-212
1.4,0.125,-216
1.4,0.375,-224
1.4,0.0859375,-184
1.4,0.03125,-272
1.4,0.148438,-256
1.4,0.0390625,-248
1.4,0.132812,-200
1.4,0.242188,-188
1.4,0.1875,-212
1.4,0.0625,-172
1.4,0.375,-208
1.4,0.453125,-276
1.4,0.367188,-236
1.4,0.289062,-232
1.4,0.25,-228
1.4,0.148438,-172
1.4,0.148438,-148
1.4,0.257812,-212
1.4,0.0703125,-224
1.4,0.0078125,-316
1.4,0.273438,-236
1.4,0.359375,-272
1.4,0.21875,-268
1.4,0.132812,-188
1.4,0.0546875,-212
1.4,0.335938,-196
1.4,0.117188,-212
1.4,0.15625,-240
1.4,0.148438,-264
1.4,0.296875,-240
1.4,0.0703125,-236
1.4,0.320312,-232
1.4,0.101562,-244
1.4,0.078125,-148
1.4,0.414062,-256
1.4,0.0859375,-196
1.4,0.421875,-252
1.4,0.320312,-204
1.4,0.367188,-236
1.4,0.046875,-216
1.4,0.164062,-192
1.4,0.234375,-184
1.4,0.148438,-236
1.4,0.03125,-208
1.4,0.242188,-268
1.4,0.0625,-216
1.4,0.195312,-240
1.4,0.132812,-228
1.4,0.179688,-232
1.4,0.09375,-248
1.4,0.125,-204
1.4,0.3125,-248
1.4,0.5,-244
1.4,0.179688,-208
1.4,0.273438,-248
1.4,0.3125,-232
1.4,0.382812,-236
1.4,0.515625,-256
1.4,0.164062,-204
1.4,0.0078125,-228
1.4,0.046875,-252
1.4,0.304688,-280
1.4,0.015625,-164
1.4,0.140625,-196
1.4,0.0234375,-212
1.4,0.0859375,-232
1.4,0.484375,-304
1.4,0.453125,-248
1.4,0.351562,-228
1.4,0.0390625,-260
1.4,0.390625,-212
1.4,0.671875,-324
1.4,0.0625,-260
1.4,0.09375,-256
1.4,0.28125,-192
1.4,0.148438,-272
1.4,0.40625,-244
1.4,0.40625,-196
1.4,0.0546875,-252
1.4,0.203125,-220
1.4,0.132812,-224
1.4,0.1875,-212
1.4,0.0078125,-236
1.4,0.140625,-256
1.4,0.125,-236
1.4,0.164062,-136
1.4,0.132812,-192
1.4,0.65625,-308
1.4,0.03125,-208
1.4,0.203125,-200
1.4,0.28125,-256
1.4,0.117188,-240
1.4,0.1875,-212
1.4,0.351562,-200
1.4,0.132812,-212
1.4,0.09375,-208
1.4,0.148438,-264
1.4,0.375,-268
1.4,0.289062,-212
1.4,0.0234375,-244
1.4,0.210938,-236
1.4,0.125,-180
1.4,0.046875,-256
1.4,0.109375,-236
1.4,0.414062,-312
1.4,0.382812,-268
1.4,0.46875,-232
1.4,0.132812,-220
1.4,0.203125,-232
1.4,0.101562,-224
1.4,0.242188,-264
1.4,0.0625,-224
1.4,0.15625,-176
1.4,0.242188,-240
1.4,0.390625,-292
1.4,0.0390625,-180
1.4,0.265625,-236
1.4,0.164062,-208
1.4,0.0625,-212
1.4,0.242188,-252
1.4,0.257812,-212
1.4,0.359375,-248
1.4,0.148438,-232
1.4,0.101562,-196
1.4,0.226562,-212
1.4,0.164062,-224
1.4,0.289062,-280
1.4,0.0625,-212
1.4,0.132812,-244
1.4,0.101562,-200
1.4,0.453125,-256
1.4,0.507812,-244
1.4,0.195312,-268
1.4,0.140625,-252
1.4,0.320312,-232
1.4,0.328125,-236
1.4,0.679688,-316
1.4,0.125,-180
1.4,0.171875,-248
1.4,0.257812,-276
1.4,0.25,-252
1.4,0.0859375,-176
1.4,0.203125,-236
1.4,0.304688,-224
1.4,0.226562,-216
1.4,0.296875,-220
1.4,0.25,-280
1.4,0.0390625,-192
1.4,0.03125,-224
1.4,0.398438,-248
1.4,0,-232
1.4,0.148438,-288
1.4,0.195312,-192
1.4,0.0390625,-268
1.4,0.445312,-256
1.4,0.0390625,-300
1.4,0.09375,-196
1.4,0.3125,-280
1.4,0.0078125,-240
1.4,0.3125,-204
1.4,0.335938,-236
1.4,0.125,-248
1.4,0.1875,-252
1.4,0.171875,-232
1.4,0.289062,-244
1.4,0.210938,-252
1.4,0.195312,-212
1.4,0.296875,-192
1.4,0.0546875,-228
1.4,0.21875,-224
1.4,0.59375,-316
1.4,0.140625,-216
1.4,0.390625,-252
1.4,0.273438,-196
1.4,0.453125,-216
1.4,0.125,-272
1.4,0.203125,-200
1.4,0.429688,-228
1.4,0.21875,-208
1.4,0.109375,-264
1.4,0.265625,-292
1.4,0.320312,-224
1.4,0.4375,-236
1.4,0.242188,-224
1.4,0.304688,-224
1.4,0.0234375,-200
1.4,0.304688,-268
