T,Binder cumulant
0.8,1.00046
0.82,1.00057
0.84,1.0007
0.86,1.00088
0.88,1.0011
0.9,1.00141
0.92,1.00178
0.94,1.00231
0.96,1.00303
0.98,1.00406
1,1.00566
1.02,1.00798
1.04,1.01188
1.06,1.01854
1.08,1.03127
1.1,1.05582
1.12,1.10483
1.14,1.19533
1.16,1.34437
1.18,1.53849
1.2,1.77455
1.22,2.00922
1.24,2.20555
1.26,2.36851
1.28,2.49303
1.3,2.58348
