T,Magnetization,Total Energy
1.4,0.16625,-1368
1.4,0.03125,-1504
1.4,0.0275,-1256
1.4,0.06,-1476
1.4,0.0275,-1476
1.4,0.05625,-1396
1.4,0.005,-1576
1.4,0.0975,-1336
1.4,0.17375,-1524
1.4,0.0075,-1504
1.4,0.05125,-1408
1.4,0.115,-1424
1.4,0.12,-1424
1.4,0.0575,-1404
1.4,0.10875,-1584
1.4,0.08125,-1600
1.4,0.07125,-1308
1.4,0.0075,-1452
1.4,0.01375,-1388
1.4,0.05875,-1384
1.4,0.0575,-1352
1.4,0.06625,-1340
1.4,0.29875,-1548
1.4,0.0525,-1572
1.4,0.21125,-1512
1.4,0.00875,-1464
1.4,0.08125,-1452
1.4,0.07875,-1404
1.4,0.01875,-1624
1.4,0.105,-1540
1.4,0.00375,-1592
1.4,0.05,-1620
1.4,0.15875,-1612
1.4,0.12375,-1348
1.4,0.17,-1508
1.4,0.03375,-1452
1.4,0.2825,-1480
1.4,0.045,-1332
1.4,0.0825,-1436
1.4,0.07125,-1356
1.4,0.13,-1500
1.4,0.06875,-1468
1.4,0.10375,-1552
1.4,0.08125,-1340
1.4,0.11875,-1536
1.4,0.1375,-1388
1.4,0.125,-1500
1.4,0.02125,-1388
1.4,0.08375,-1500
1.4,0,-1436
1.4,0.06625,-1460
1.4,0.04375,-1392
1.4,0.04875,-1412
1.4,0.15625,-1488
1.4,0.165,-1380
1.4,0.04,-1428
1.4,0.08,-1396
1.4,0.02375,-1548
1.4,0.13875,-1488
1.4,0.0025,-1492
1.4,0.0075,-1412
1.4,0.00125,-1496
1.4,0.00875,-1344
1.4,0.07625,-1456
1.4,0.1575,-1528
1.4,0.0125,-1568
1.4,0.09,-1468
1.4,0.135,-1492
1.4,0.01375,-1436
1.4,0.06375,-1608
1.4,0.0075,-1356
1.4,0.1025,-1456
1.4,0.1375,-1412
1.4,0.11875,-1500
1.4,0.14125,-1612
1.4,0.12,-1536
1.4,0.0875,-1340
1.4,0.0225,-1528
1.4,0.06375,-1476
1.4,0.19125,-1400
1.4,0.09875,-1460
1.4,0.00875,-1460
1.4,0.0325,-1324
1.4,0.0875,-1392
1.4,0.2425,-1520
1.4,0.065,-1524
1.4,0.17125,-1608
1.4,0.125,-1388
1.4,0.005,-1472
1.4,0.03,-1376
1.4,0.08375,-1504
1.4,0.07125,-1292
1.4,0.02625,-1376
1.4,0.06875,-1300
1.4,0.17375,-1656
1.4,0.1125,-1528
1.4,0.0425,-1492
1.4,0.28,-1396
1.4,0.1475,-1448
1.4,0.12125,-1340
1.4,0.12,-1492
1.4,0.1025,-1404
1.4,0.07625,-1520
1.4,0.0175,-1352
1.4,0.01,-1384
1.4,0.06125,-1568
1.4,0.04375,-1464
1.4,0.07,-1532
1.4,0.12,-1488
1.4,0.015,-1464
1.4,0.12,-1324
1.4,0.03125,-1460
1.4,0.08,-1368
1.4,0.1275,-1352
1.4,0.09875,-1616
1.4,0.005,-1508
1.4,0.01625,-1472
1.4,0.0475,-1456
1.4,0.055,-1360
1.4,0.0125,-1412
1.4,0.06625,-1268
1.4,0.12375,-1372
1.4,0.08,-1420
1.4,0.0675,-1544
1.4,0.01625,-1512
1.4,0.12875,-1484
1.4,0.00875,-1392
1.4,0.205,-1448
1.4,0.1,-1456
1.4,0.10625,-1356
1.4,0.125,-1444
1.4,0.03,-1500
1.4,0.01875,-1524
1.4,0.1975,-1392
1.4,0.00625,-1484
1.4,0.12875,-1456
1.4,0.0025,-1448
1.4,0.09375,-1532
1.4,0.025,-1360
1.4,0.02,-1508
1.4,0.04875,-1296
1.4,0.15625,-1656
1.4,0.03,-1452
1.4,0.00375,-1316
1.4,0.05,-1416
1.4,0.09375,-1348
1.4,0.1575,-1492
1.4,0.02625,-1420
1.4,0.10875,-1476
1.4,0.0675,-1496
1.4,0.0825,-1632
1.4,0.05,-1340
1.4,0.0775,-1444
1.4,0.02875,-1316
1.4,0.1175,-1200
1.4,0.03125,-1560
1.4,0.22875,-1432
1.4,0.08375,-1472
1.4,0.26375,-1380
1.4,0.13625,-1476
1.4,0.06375,-1492
1.4,0.15,-1612
1.4,0.01625,-1520
1.4,0.12125,-1456
1.4,0.04625,-1520
1.4,0.17375,-1524
1.4,0.0525,-1484
1.4,0.04375,-1364
1.4,0.08375,-1468
1.4,0.06625,-1452
1.4,0.03625,-1524
1.4,0.08625,-1560
1.4,0.05125,-1576
1.4,0.01875,-1464
1.4,0.08625,-1484
1.4,0.04875,-1428
1.4,0.015,-1548
1.4,0.07875,-1416
1.4,0.01625,-1524
1.4,0.0725,-1368
1.4,0.085,-1480
1.4,0.115,-1352
1.4,0.06125,-1376
1.4,0.05375,-1448
1.4,0.00875,-1536
1.4,0.0025,-1404
1.4,0.2075,-1420
1.4,0.12375,-1496
1.4,0.03375,-1368
1.4,0.09125,-1528
1.4,0.13125,-1516
1.4,0.07,-1460
1.4,0.00875,-1628
1.4,0.23875,-1492
1.4,0.115,-1384
1.4,0.01875,-1428
1.4,0.15875,-1564
1.4,0.0175,-1424
1.4,0.07625,-1436
1.4,0.0575,-1452
1.4,0.07625,-1476
1.4,0.14,-1496
1.4,0.04375,-1448
1.4,0.01125,-1472
1.4,0.0425,-1368
1.4,0.0625,-1424
1.4,0.01625,-1488
1.4,0.0975,-1324
1.4,0.03125,-1312
1.4,0.02,-1416
1.4,0.01625,-1432
1.4,0.02875,-1356
1.4,0.18375,-1532
1.4,0.01625,-1456
1.4,0.01625,-1332
1.4,0.08375,-1396
1.4,0.0625,-1552
1.4,0.07,-1428
1.4,0.01875,-1392
1.4,0.08625,-1440
1.4,0.045,-1600
1.4,0.17625,-1508
1.4,0.05125,-1480
1.4,0.095,-1572
1.4,0.025,-1272
1.4,0.07625,-1416
1.4,0.15875,-1588
1.4,0.04375,-1600
1.4,0.02,-1516
1.4,0.295,-1324
1.4,0.115,-1336
1.4,0.0275,-1412
1.4,0.075,-1452
1.4,0.07625,-1488
1.4,0.13375,-1344
1.4,0.14875,-1544
1.4,0.1375,-1480
1.4,0.09875,-1344
1.4,0.0325,-1364
1.4,0.1525,-1436
1.4,0.0425,-1392
1.4,0.035,-1524
1.4,0.12375,-1356
1.4,0.0975,-1380
1.4,0.275,-1480
1.4,0.07875,-1580
1.4,0.0975,-1352
1.4,0.115,-1300
1.4,0.22375,-1392
1.4,0.0575,-1476
1.4,0.1225,-1440
1.4,0.11125,-1532
1.4,0.105,-1388
1.4,0.105,-1516
1.4,0.04625,-1416
1.4,0.145,-1468
1.4,0.075,-1488
1.4,0.0775,-1404
1.4,0.06875,-1396
1.4,0.02375,-1464
1.4,0.1275,-1580
1.4,0.32125,-1680
1.4,0.02,-1448
1.4,0.1425,-1488
1.4,0.03875,-1464
1.4,0.045,-1604
1.4,0.05125,-1388
1.4,0.21,-1428
1.4,0.03625,-1512
1.4,0.0375,-1404
1.4,0.0725,-1432
1.4,0.05875,-1412
1.4,0.12625,-1476
1.4,0.0475,-1488
1.4,0.0075,-1404
1.4,0.0875,-1436
1.4,0.01,-1420
1.4,0.0375,-1508
1.4,0.125,-1392
1.4,0.11,-1576
1.4,0.02625,-1484
1.4,0.22375,-1364
1.4,0.10125,-1392
1.4,0.03,-1452
1.4,0.045,-1408
1.4,0.07125,-1436
1.4,0.02875,-1432
1.4,0.15375,-1356
1.4,0.07875,-1420
1.4,0.19625,-1412
1.4,0.09375,-1356
1.4,0.08875,-1508
1.4,0.03625,-1460
1.4,0.05625,-1560
1.4,0.06125,-1644
1.4,0.11125,-1440
1.4,0.1075,-1388
1.4,0.10625,-1396
1.4,0.0375,-1568
1.4,0.0525,-1396
1.4,0.1725,-1476
1.4,0.0625,-1560
1.4,0.18625,-1528
1.4,0.02625,-1380
1.4,0.04875,-1268
1.4,0.055,-1584
1.4,0.04375,-1392
1.4,0.03875,-1328
1.4,0.08,-1440
1.4,0.10375,-1592
1.4,0.075,-1452
1.4,0.1175,-1428
1.4,0.00125,-1520
1.4,0.02875,-1464
1.4,0.0325,-1528
1.4,0.125,-1504
1.4,0.16625,-1340
1.4,0.14875,-1536
1.4,0.20375,-1636
1.4,0.1525,-1428
1.4,0.0275,-1432
1.4,0.1175,-1532
1.4,0.12125,-1368
1.4,0.0925,-1420
1.4,0.02625,-1608
1.4,0.00875,-1604
1.4,0.05625,-1420
1.4,0.13625,-1592
1.4,0.08625,-1420
1.4,0.2175,-1628
1.4,0.015,-1448
1.4,0.03,-1476
1.4,0.04,-1488
1.4,0.1975,-1368
1.4,0.04875,-1376
1.4,0.11625,-1332
1.4,0.08875,-1404
1.4,0.1825,-1516
1.4,0.09375,-1444
1.4,0.0175,-1240
1.4,0.05625,-1372
1.4,0.0125,-1400
1.4,0.0775,-1464
1.4,0.20125,-1336
1.4,0.095,-1516
1.4,0.02,-1408
1.4,0.1375,-1560
1.4,0.055,-1504
1.4,0.05625,-1228
1.4,0.03625,-1444
1.4,0.0675,-1384
1.4,0.13,-1516
1.4,0.01875,-1352
1.4,0.0275,-1440
1.4,0.245,-1480
1.4,0.155,-1532
1.4,0.15,-1316
1.4,0.10875,-1456
1.4,0.03375,-1368
1.4,0.0675,-1476
1.4,0.03875,-1404
1.4,0.1225,-1396
1.4,0.13875,-1580
1.4,0.175,-1616
1.4,0.13375,-1404
1.4,0.09125,-1428
1.4,0.03375,-1404
1.4,0.16125,-1468
1.4,0.2975,-1328
1.4,0.15375,-1636
1.4,0.01125,-1488
1.4,0.1325,-1516
1.4,0.04875,-1540
1.4,0.07125,-1376
1.4,0.0475,-1600
1.4,0.0225,-1440
1.4,0.30625,-1596
1.4,0.05375,-1564
1.4,0.0025,-1528
1.4,0.11125,-1368
1.4,0.035,-1448
1.4,0.095,-1392
1.4,0.1825,-1488
1.4,0.2275,-1540
1.4,0.15375,-1488
1.4,0.08,-1400
1.4,0.01875,-1556
1.4,0.05625,-1472
1.4,0.225,-1456
1.4,0.27875,-1532
1.4,0.015,-1492
1.4,0.225,-1516
1.4,0.0075,-1448
1.4,0.1975,-1460
1.4,0.13,-1396
1.4,0.05875,-1592
1.4,0.00125,-1316
1.4,0.02625,-1372
1.4,0.095,-1544
1.4,0.1375,-1500
1.4,0.0325,-1328
1.4,0.1825,-1420
1.4,0.03,-1432
1.4,0.00375,-1392
1.4,0.11,-1448
1.4,0.04,-1420
1.4,0.11625,-1524
1.4,0.02,-1568
1.4,0.1075,-1452
1.4,0.1175,-1308
1.4,0.055,-1380
1.4,0.10875,-1500
1.4,0.14,-1492
1.4,0.0825,-1464
1.4,0.01875,-1388
1.4,0.045,-1428
1.4,0.175,-1392
1.4,0.175,-1368
1.4,0.0975,-1492
1.4,0.095,-1524
1.4,0.10875,-1472
1.4,0.20375,-1560
1.4,0.21375,-1368
1.4,0.04625,-1532
1.4,0.05,-1552
1.4,0.0425,-1368
1.4,0.01375,-1420
1.4,0.0875,-1376
1.4,0.06375,-1396
1.4,0.17875,-1544
1.4,0.05,-1376
1.4,0.11125,-1576
1.4,0.02875,-1368
1.4,0.14625,-1600
1.4,0.1025,-1472
1.4,0.12625,-1488
1.4,0.22875,-1436
1.4,0.13625,-1528
1.4,0.05375,-1356
1.4,0.19625,-1444
1.4,0.05125,-1512
1.4,0.0125,-1444
1.4,0.01375,-1464
1.4,0.0425,-1476
1.4,0.16125,-1508
1.4,0.0025,-1392
1.4,0.1375,-1644
1.4,0.09125,-1544
1.4,0.19875,-1456
1.4,0.02125,-1388
1.4,0.00125,-1524
1.4,0.0125,-1512
1.4,0.14,-1428
1.4,0.06,-1516
1.4,0.055,-1404
1.4,0.20375,-1360
1.4,0.1725,-1308
1.4,0.1075,-1560
1.4,0.065,-1452
1.4,0.10875,-1376
1.4,0.1425,-1572
1.4,0.035,-1468
1.4,0.0675,-1508
1.4,0.2125,-1720
1.4,0.0375,-1452
1.4,0.1375,-1560
1.4,0.01125,-1400
1.4,0.11125,-1364
1.4,0.01375,-1352
1.4,0.14875,-1484
1.4,0.115,-1616
1.4,0.03875,-1456
1.4,0.08625,-1388
1.4,0.0625,-1412
1.4,0.04,-1412
1.4,0.08,-1392
1.4,0.01375,-1260
1.4,0.09125,-1312
1.4,0.0675,-1412
1.4,0.02125,-1444
1.4,0.06625,-1416
1.4,0.0525,-1516
1.4,0.1,-1308
1.4,0.1275,-1512
1.4,0.0675,-1404
1.4,0.0925,-1412
1.4,0.13625,-1408
1.4,0.0575,-1460
1.4,0.1075,-1476
1.4,0.02625,-1504
1.4,0.005,-1436
1.4,0.03,-1360
1.4,0.0775,-1564
1.4,0.1525,-1452
1.4,0.07875,-1408
1.4,0.145,-1428
1.4,0.05625,-1496
1.4,0.01125,-1444
1.4,0.0375,-1416
1.4,0.135,-1328
1.4,0.0975,-1588
1.4,0.175,-1508
1.4,0.03125,-1412
1.4,0.10625,-1468
1.4,0.20875,-1428
1.4,0.1325,-1616
1.4,0.0125,-1436
1.4,0.075,-1368
1.4,0.19875,-1348
1.4,0.075,-1536
1.4,0.1075,-1432
1.4,0.09125,-1492
1.4,0.15125,-1472
1.4,0.03125,-1412
1.4,0.16875,-1412
1.4,0.065,-1412
1.4,0.18375,-1452
1.4,0.17375,-1368
1.4,0.1475,-1560
1.4,0.05625,-1504
