T,Specific heat
0.8,0.530212
0.82,0.584721
0.84,0.652685
0.86,0.725221
0.88,0.789603
0.9,0.874982
0.92,0.964482
0.94,1.07224
0.96,1.18445
0.98,1.30905
1,1.44463
1.02,1.62212
1.04,1.80413
1.06,2.04601
1.08,2.28066
1.1,2.58765
1.12,2.85418
1.14,3.05008
1.16,3.10191
1.18,3.01834
1.2,2.81816
1.22,2.54266
1.24,2.26376
1.26,2.00926
1.28,1.78024
1.3,1.60811
