r,G(r)
1,0.983436
2,0.759576
3,0.687176
4,0.654656
5,0.637416
6,0.629036
7,0.621716
8,0.616536
9,0.613216
10,0.612896
11,0.611816
12,0.608716
13,0.606656
14,0.604336
15,0.603396
16,0.600616
17,0.603676
18,0.603416
19,0.605276
20,0.601856
