r,G(r)
1,0.0818528
2,0.0127728
3,0.00095276
4,-0.00160724
5,0.00085276
6,0.00057276
7,-0.00150724
8,-0.00268724
9,-0.00224724
10,-0.00202724
11,-0.00196724
12,-0.00152724
13,0.00037276
14,-0.00110724
15,-0.00132724
16,-0.00144724
17,0.00135276
18,-0.00052724
19,-0.00088724
20,-0.00236724
