T,Binder cumulant
0.8,1.00111
0.82,1.00135
0.84,1.0017
0.86,1.00214
0.88,1.00263
0.9,1.00331
0.92,1.00419
0.94,1.00543
0.96,1.00708
0.98,1.0093
1,1.01265
1.02,1.01752
1.04,1.02471
1.06,1.03664
1.08,1.05349
1.1,1.08137
1.12,1.12328
1.14,1.18611
1.16,1.26489
1.18,1.37141
1.2,1.49589
1.22,1.6374
1.24,1.78229
1.26,1.91992
1.28,2.04779
1.3,2.17103
