T,Magnetization,Total Energy
1.4,0.2,-578
1.4,0.1264,-650
1.4,0.088,-538
1.4,0.2608,-646
1.4,0.136,-530
1.4,0.2992,-618
1.4,0.0944,-582
1.4,0.008,-502
1.4,0.3248,-586
1.4,0.0016,-470
1.4,0.1936,-546
1.4,0.2416,-542
1.4,0.0944,-570
1.4,0.1968,-530
1.4,0.0464,-558
1.4,0.0592,-578
1.4,0.056,-578
1.4,0.4144,-626
1.4,0.2992,-666
1.4,0.1872,-538
1.4,0.0944,-522
1.4,0.0496,-438
1.4,0.0592,-586
1.4,0.2608,-594
1.4,0.2896,-618
1.4,0.0592,-514
1.4,0.1296,-638
1.4,0.2064,-590
1.4,0.1296,-590
1.4,0.0784,-614
1.4,0.1968,-562
1.4,0.2448,-626
1.4,0.3152,-638
1.4,0.0144,-542
1.4,0.0304,-566
1.4,0.1296,-562
1.4,0.36,-550
1.4,0.1392,-594
1.4,0.0528,-594
1.4,0.2384,-622
1.4,0.1136,-606
1.4,0.056,-582
1.4,0.0208,-626
1.4,0.0272,-518
1.4,0.3152,-626
1.4,0.2512,-542
1.4,0.2,-534
1.4,0.2992,-582
1.4,0.1296,-574
1.4,0.2224,-630
1.4,0.008,-514
1.4,0.2096,-550
1.4,0.1136,-558
1.4,0.1776,-586
1.4,0.4368,-570
1.4,0.1104,-606
1.4,0.2352,-618
1.4,0.0688,-514
1.4,0.2096,-594
1.4,0.1488,-538
1.4,0.4048,-618
1.4,0.1392,-586
1.4,0.152,-458
1.4,0.1776,-630
1.4,0.1392,-654
1.4,0.1136,-562
1.4,0.3696,-566
1.4,0.1328,-550
1.4,0.1744,-570
1.4,0.0208,-522
1.4,0.2576,-618
1.4,0.1712,-494
1.4,0.3216,-654
1.4,0.216,-602
1.4,0.184,-554
1.4,0.1552,-558
1.4,0.4144,-674
1.4,0.2,-574
1.4,0.1872,-582
1.4,0.0496,-526
1.4,0.0144,-514
1.4,0.1552,-530
1.4,0.0752,-646
1.4,0.0048,-554
1.4,0.0304,-542
1.4,0.2576,-606
1.4,0.12,-470
1.4,0.0336,-534
1.4,0.04,-566
1.4,0.184,-522
1.4,0.168,-534
1.4,0.0304,-602
1.4,0.1232,-558
1.4,0.1456,-530
1.4,0.0176,-550
1.4,0.1872,-630
1.4,0.1296,-542
1.4,0.2032,-570
1.4,0.0496,-554
1.4,0.2448,-574
1.4,0.264,-618
1.4,0.0496,-542
1.4,0.4016,-642
1.4,0.2448,-566
1.4,0.0496,-502
1.4,0.2416,-510
1.4,0.104,-570
1.4,0.2224,-502
1.4,0.1552,-542
1.4,0.1136,-530
1.4,0.1776,-546
1.4,0.2032,-614
1.4,0.2576,-590
1.4,0.0464,-606
1.4,0.008,-582
1.4,0.0144,-594
1.4,0.3248,-626
1.4,0.0656,-586
1.4,0.1008,-614
1.4,0.1104,-594
1.4,0.0816,-534
1.4,0.136,-554
1.4,0.0784,-590
1.4,0.0208,-594
1.4,0.0272,-594
1.4,0.0912,-606
1.4,0.2032,-606
1.4,0.0016,-622
1.4,0.3312,-654
1.4,0.0144,-558
1.4,0.1168,-514
1.4,0.04,-482
1.4,0.0656,-514
1.4,0.2704,-610
1.4,0.1808,-598
1.4,0.0208,-610
1.4,0.0624,-586
1.4,0.0048,-526
1.4,0.1136,-526
1.4,0.0464,-514
1.4,0.0144,-486
1.4,0.1616,-582
1.4,0.2608,-582
1.4,0.0304,-550
1.4,0.0688,-562
1.4,0.3664,-622
1.4,0.0432,-542
1.4,0.3408,-726
1.4,0.2608,-518
1.4,0.3472,-666
1.4,0.1776,-542
1.4,0.04,-510
1.4,0.0752,-618
1.4,0.1424,-546
1.4,0.5104,-682
1.4,0.0432,-446
1.4,0.008,-506
1.4,0.1968,-566
1.4,0.0528,-550
1.4,0.0336,-562
1.4,0.1168,-594
1.4,0.0464,-574
1.4,0.0752,-586
1.4,0.36,-666
1.4,0.0272,-590
1.4,0.0208,-642
1.4,0.1712,-622
1.4,0.1616,-546
1.4,0.152,-582
1.4,0.0016,-570
1.4,0.1168,-530
1.4,0.0848,-526
1.4,0.04,-574
1.4,0.3792,-574
1.4,0.1008,-554
1.4,0.296,-598
1.4,0.1456,-534
1.4,0.136,-610
1.4,0.0144,-630
1.4,0.2928,-486
1.4,0.2608,-646
1.4,0.1072,-510
1.4,0.36,-698
1.4,0.1936,-598
1.4,0.136,-558
1.4,0.3376,-626
1.4,0.2032,-538
1.4,0.1424,-646
1.4,0.1872,-534
1.4,0.0176,-594
1.4,0.2224,-574
1.4,0.3024,-538
1.4,0.2704,-534
1.4,0.1648,-586
1.4,0.2032,-558
1.4,0.0464,-514
1.4,0.024,-598
1.4,0.0208,-578
1.4,0.0432,-714
1.4,0.312,-558
1.4,0.296,-598
1.4,0.168,-538
1.4,0.1296,-598
1.4,0.0176,-626
1.4,0.248,-578
1.4,0.0432,-590
1.4,0.0624,-534
1.4,0.2096,-554
1.4,0.1648,-554
