T,Binder cumulant
0.8,1.00018
0.82,1.00022
0.84,1.00028
0.86,1.00035
0.88,1.00044
0.9,1.00055
0.92,1.00071
0.94,1.00092
0.96,1.00122
0.98,1.00164
1,1.00227
1.02,1.00324
1.04,1.00491
1.06,1.00813
1.08,1.01486
1.1,1.03176
1.12,1.07985
1.14,1.21645
1.16,1.49952
1.18,1.86927
1.2,2.22171
1.22,2.46301
1.24,2.62019
1.26,2.72115
1.28,2.78566
1.3,2.83051
